id,name,city_baidu_id,420100_moveIn_mean,420100_moveIn_mean_before,420100_moveIn_mean_after,420100_moveIn_max,420100_moveIn_max_before,420100_moveIn_max_after,420100_moveIn_min,420100_moveIn_min_before,420100_moveIn_min_after
340200,芜湖市,340200,0.10733333333333334,0.10444444444444444,0.10805555555555557,0.24,0.15,0.24,0.0,0.0,0.02
340300,蚌埠市,340300,0.0015555555555555557,0.0,0.0019444444444444446,0.03,0.0,0.03,0.0,0.0,0.0
340400,淮南市,340400,0.00044444444444444447,0.0,0.0005555555555555556,0.02,0.0,0.02,0.0,0.0,0.0
340500,马鞍山市,340500,0.011777777777777778,0.0,0.014722222222222223,0.09,0.0,0.09,0.0,0.0,0.0
340600,淮北市,340600,0.002888888888888889,0.0,0.0036111111111111114,0.09,0.0,0.09,0.0,0.0,0.0
340700,铜陵市,340700,0.02200000000000001,0.04555555555555555,0.01611111111111111,0.1,0.1,0.06,0.0,0.0,0.0
340800,安庆市,340800,0.1622222222222222,0.4488888888888889,0.09055555555555558,0.59,0.59,0.24,0.0,0.28,0.0
341000,黄山市,341000,0.0017777777777777779,0.0,0.0022222222222222222,0.04,0.0,0.04,0.0,0.0,0.0
341100,滁州市,341100,0.01088888888888889,0.0,0.013611111111111114,0.07,0.0,0.07,0.0,0.0,0.0
341200,阜阳市,341200,0.19044444444444453,0.38222222222222224,0.14249999999999996,0.49,0.49,0.34,0.04,0.33,0.04
341300,宿州市,341300,0.031555555555555566,0.10666666666666666,0.012777777777777779,0.12,0.12,0.12,0.0,0.09,0.0
341500,六安市,341500,0.0793333333333333,0.17888888888888888,0.05444444444444447,0.21,0.21,0.18,0.0,0.14,0.0
341600,亳州市,341600,0.024666666666666663,0.10444444444444442,0.004722222222222222,0.14,0.14,0.04,0.0,0.08,0.0
341700,池州市,341700,0.031555555555555566,0.0,0.03944444444444446,0.1,0.0,0.1,0.0,0.0,0.0
341800,宣城市,341800,0.006444444444444445,0.0,0.008055555555555557,0.06,0.0,0.06,0.0,0.0,0.0
350100,福州市,350100,0.06066666666666664,0.18666666666666665,0.02916666666666668,0.23,0.23,0.14,0.0,0.16,0.0
350200,厦门市,350200,0.05111111111111111,0.1411111111111111,0.02861111111111112,0.18,0.18,0.15,0.0,0.1,0.0
