city_baidu_id,name,id,20200101_moveIn,20200102_moveIn,20200103_moveIn,20200104_moveIn,20200105_moveIn,20200106_moveIn,20200107_moveIn,20200108_moveIn,20200109_moveIn,20200110_moveIn,20200111_moveIn,20200112_moveIn,20200113_moveIn,20200114_moveIn,20200115_moveIn,20200116_moveIn,20200117_moveIn,20200118_moveIn,20200119_moveIn,20200120_moveIn,20200121_moveIn,20200122_moveIn,20200123_moveIn,20200124_moveIn,20200125_moveIn,20200126_moveIn,20200127_moveIn,20200128_moveIn,20200129_moveIn,20200130_moveIn,20200131_moveIn,20200201_moveIn,20200202_moveIn,20200203_moveIn,20200204_moveIn,20200205_moveIn,20200206_moveIn,20200207_moveIn,20200208_moveIn,20200209_moveIn,20200210_moveIn,20200211_moveIn,20200212_moveIn,20200213_moveIn,20200214_moveIn,20200215_moveIn,20200216_moveIn,20200217_moveIn,20200218_moveIn,20200219_moveIn,20200220_moveIn,20200221_moveIn,20200222_moveIn,20200223_moveIn,20200224_moveIn,20200225_moveIn,20200226_moveIn,20200227_moveIn,20200228_moveIn,20200229_moveIn,20200301_moveIn,20200302_moveIn,20200303_moveIn,20200304_moveIn,20200305_moveIn,20200306_moveIn,20200307_moveIn,20200308_moveIn,20200309_moveIn,20200310_moveIn,20200311_moveIn,20200312_moveIn,20200313_moveIn,20200314_moveIn,20200315_moveIn,20200316_moveIn,20200317_moveIn,20200318_moveIn,20200319_moveIn,20200320_moveIn,20200321_moveIn,20200322_moveIn,20200323_moveIn,20200324_moveIn,20200325_moveIn,20200326_moveIn,20200327_moveIn,20200328_moveIn,20200329_moveIn,20200330_moveIn,20200331_moveIn
620400,白银市,620400,0.2627964,0.2630556,0.4295916,0.4826304,0.3905496,0.3947292,0.445176,0.4803948,0.4902444,0.3065364,0.4422924,0.48762,0.4559004,0.4292028,0.394956,0.3730536,0.4582332,0.4873284,0.4716144,0.555498,0.678942,0.7710876,0.8367624,0.659664,0.3506976,0.3282768,0.2721276,0.2168208,0.1721088,0.1573344,0.1248048,0.0978156,0.0997596,0.0891972,0.0734184,0.0680724,0.054594,0.053946,0.0490212,0.045036,0.0457488,0.04617,0.0444852,0.0500256,0.0545292,0.063828,0.0715392,0.08505,0.1008288,0.1062072,0.1068876,0.1082808,0.1329372,0.1559412,0.179658,0.1823148,0.1933308,0.1669896,0.1737612,0.2119932,0.1820232,0.1938492,0.1800792,0.1820232,0.1901232,0.201366,0.2468232,0.2016252,0.2048328,0.2060964,0.2071656,0.2141316,0.2640924,0.30375,0.2374596,0.2379456,0.2406672,0.2330208,0.2364876,0.258876,0.312174,0.2598156,0.2630556,0.2521692,0.2488644,0.232146,0.2638008,0.34911,0.3167748,0.2855412,0.2701836
620500,天水市,620500,0.361422,0.4281984,0.5850468,0.6981876,0.6046164,0.6481296,0.7479216,0.8316756,0.912222,0.6960816,0.7514208,0.7471764,0.7533648,0.7458156,0.7337304,0.7175304,0.792828,0.8087364,0.8298612,0.9513288,1.1760228,1.1846412,1.2408876,1.0456128,0.5395896,0.4159836,0.3406536,0.2539512,0.188082,0.17496,0.1448928,0.1177092,0.1414584,0.1289196,0.1097712,0.1015416,0.09315,0.0918216,0.0878364,0.0896832,0.0940248,0.0938952,0.0981072,0.094284,0.0962604,0.1025136,0.1043604,0.125226,0.1421064,0.163458,0.1561356,0.1707804,0.199908,0.2136456,0.248022,0.2827224,0.286092,0.2597832,0.268272,0.2806488,0.2743308,0.285282,0.2797092,0.2706372,0.2823012,0.2774412,0.2911788,0.2605284,0.2869668,0.274428,0.2904012,0.2986632,0.3101328,0.3240648,0.3118176,0.3088368,0.3178764,0.3276936,0.3241944,0.3412044,0.3657636,0.3289896,0.3495312,0.3338172,0.3433104,0.3420144,0.3367008,0.3539376,0.3484296,0.3414312,0.3394548
620600,武威市,620600,0.2185056,0.2315304,0.3412044,0.4044816,0.3607416,0.3695868,0.3940164,0.4426812,0.468666,0.3625884,0.4104108,0.4040604,0.3908412,0.3756132,0.3843612,0.3648888,0.3961224,0.4154976,0.4185756,0.4806216,0.5695272,0.6040008,0.6459912,0.57105,0.3545532,0.3341412,0.2229768,0.1457352,0.0968112,0.086508,0.0690768,0.0594216,0.0672948,0.0579312,0.0492804,0.0426708,0.0420228,0.0410832,0.0393012,0.0437076,0.0428328,0.0396252,0.0381996,0.0419256,0.0415044,0.0426708,0.0409536,0.0444528,0.0479844,0.0476604,0.0515808,0.0551448,0.0677808,0.0961308,0.1337148,0.1546452,0.1609308,0.1513404,0.15147,0.1670544,0.139482,0.1455408,0.1423656,0.1484568,0.1374408,0.1497204,0.1629396,0.1413288,0.1414908,0.1500768,0.1557144,0.1742796,0.2085588,0.2159136,0.1885032,0.1933956,0.2056428,0.1970244,0.1959552,0.2067444,0.229392,0.2134512,0.2032128,0.1924236,0.1919376,0.190512,0.2079432,0.2302344,0.23652,0.2195748,0.2058372
620700,张掖市,620700,0.133326,0.1622916,0.2186676,0.2541132,0.2390796,0.2469204,0.2836944,0.3159648,0.3204684,0.2580012,0.2887488,0.2601072,0.2537568,0.2345436,0.2426112,0.2278692,0.2323728,0.2511972,0.250938,0.274752,0.3257496,0.3240324,0.324972,0.31752,0.2048652,0.1826712,0.1476792,0.0963252,0.073224,0.0553392,0.0524556,0.0420552,0.0474984,0.0441288,0.0336636,0.0295164,0.0288036,0.0276372,0.0239436,0.0262116,0.0269244,0.027216,0.0272808,0.0306504,0.0311688,0.0336312,0.0349272,0.0390096,0.0410832,0.0471096,0.0469152,0.0488268,0.0507708,0.056862,0.0750708,0.0873828,0.091044,0.0911088,0.0939276,0.1008936,0.0938628,0.0950616,0.0998892,0.101898,0.1047168,0.1041336,0.1107756,0.097848,0.1011852,0.1202688,0.112266,0.139158,0.129924,0.2182788,0.1627128,0.1536408,0.1556172,0.1551312,0.1593432,0.1523772,0.1520208,0.1425924,0.1437912,0.1444068,0.1309284,0.1471284,0.1438884,0.1460268,0.1499796,0.1501416,0.1381212
620800,平凉市,620800,0.2554092,0.2633472,0.3860784,0.4698,0.3446388,0.3748356,0.4659768,0.5534568,0.5390064,0.3751272,0.4338036,0.5099436,0.4957848,0.4825332,0.3937248,0.397548,0.517428,0.562626,0.5504112,0.6347484,0.8077968,0.8471304,0.839808,0.622566,0.3443148,0.2976912,0.2496096,0.2031804,0.1572372,0.1446336,0.1239624,0.10044,0.124902,0.1074384,0.0953532,0.0900072,0.0788616,0.076464,0.071604,0.067878,0.065124,0.0587736,0.0634716,0.0672624,0.0662256,0.0676512,0.0694656,0.074844,0.0864432,0.0889704,0.0910764,0.0920484,0.1092204,0.1306368,0.1537056,0.1829304,0.1896372,0.1782648,0.1703916,0.1902528,0.1808892,0.1806624,0.1849392,0.1950156,0.1922616,0.1909332,0.200394,0.193914,0.2037312,0.2120904,0.2073276,0.211086,0.21384,0.240408,0.2256012,0.2365848,0.2452356,0.2401488,0.2506788,0.2615328,0.2565108,0.2394036,0.2503224,0.2572236,0.2491236,0.2472444,0.2297808,0.2414124,0.2492208,0.2581632,0.2391768
620900,酒泉市,620900,0.2351592,0.2161728,0.3107484,0.3656664,0.3747384,0.3985848,0.3769416,0.4122252,0.4392144,0.4005612,0.4219452,0.40986,0.4376268,0.3853008,0.3567888,0.33372,0.3505032,0.3710772,0.4415472,0.3853332,0.4385664,0.3732156,0.3522852,0.3516372,0.2738124,0.254016,0.3294756,0.2440044,0.1685772,0.1469664,0.1439856,0.1149552,0.137538,0.1377,0.0905256,0.0753948,0.0807732,0.0708588,0.058968,0.0587736,0.0914328,0.0674244,0.0643788,0.0630504,0.063018,0.065124,0.064314,0.1086048,0.0829764,0.0798012,0.09153,0.1063692,0.1285632,0.1427544,0.2099844,0.1747008,0.1718496,0.1821528,0.1713312,0.1661472,0.17496,0.2310444,0.19683,0.189864,0.18549,0.1848744,0.2000052,0.1830924,0.2363256,0.23166,0.2207088,0.2300076,0.2200932,0.3628152,0.4188348,0.4367844,0.3888648,0.3684204,0.3906468,0.3694572,0.360612,0.3484296,0.369036,0.3015144,0.3000564,0.3307716,0.3125304,0.2878092,0.334368,0.3628476,0.290628
621000,庆阳市,621000,0.2432592,0.2835324,0.392526,0.4604364,0.3013848,0.32481,0.402408,0.4887216,0.4719708,0.3417228,0.397548,0.4983768,0.4975344,0.4997376,0.3939192,0.3518316,0.5051808,0.5730912,0.6089904,0.6887592,0.8715276,0.8267508,0.7861212,0.5064768,0.2618244,0.2504844,0.1997136,0.1697112,0.1378296,0.1300212,0.1160568,0.0848556,0.0856656,0.0717984,0.0587736,0.0551772,0.0520992,0.0475956,0.0438372,0.045198,0.0465912,0.0423792,0.04455,0.0441612,0.0458136,0.0544644,0.0644436,0.0703728,0.0792504,0.083268,0.0880956,0.0918864,0.0993708,0.1189728,0.1491372,0.173502,0.1956312,0.1719468,0.1570428,0.1854576,0.173016,0.1826388,0.1743768,0.183708,0.1809864,0.182736,0.1929096,0.1792044,0.1902204,0.1891836,0.1937844,0.194562,0.1965384,0.2078784,0.2003292,0.211896,0.2114424,0.2120256,0.2086236,0.2193804,0.2239488,0.2128356,0.2314008,0.2180196,0.2269296,0.22113,0.2013984,0.2083968,0.2288088,0.2325996,0.2290032
621100,定西市,621100,0.3994596,0.3800844,0.615276,0.7364844,0.6021864,0.5952204,0.7034364,0.7841772,0.8342676,0.590328,0.6968916,0.7195068,0.6903468,0.7007796,0.6610572,0.6331608,0.7392708,0.7507404,0.738882,0.8478432,1.0452888,1.0843308,1.1504268,0.8842932,0.5093928,0.4279392,0.3021948,0.2427084,0.1952424,0.1724328,0.149202,0.1347516,0.1606068,0.1426896,0.1258416,0.1078596,0.0985608,0.0924372,0.09072,0.0893268,0.0906876,0.0893916,0.092016,0.0940896,0.1016388,0.1110024,0.1196208,0.1413288,0.1537056,0.1512108,0.1499796,0.1696788,0.1949832,0.2344464,0.2830464,0.2862216,0.2892024,0.2590056,0.2787372,0.307638,0.2869344,0.3030372,0.2972052,0.2981772,0.31104,0.3251664,0.3550068,0.307962,0.3297348,0.3271428,0.3359232,0.3377052,0.3588948,0.4213944,0.374544,0.3494988,0.3793068,0.3923316,0.367416,0.3953772,0.4352292,0.400788,0.3980664,0.399978,0.3935304,0.379242,0.3840696,0.4518504,0.4448196,0.4106052,0.4016952
621200,陇南市,621200,0.2367468,0.3004128,0.3957012,0.463806,0.4216212,0.4447548,0.5181084,0.563922,0.5962896,0.4550256,0.45036,0.4461804,0.4378536,0.4525308,0.4154004,0.4473144,0.4954932,0.5232276,0.5055696,0.5411448,0.64071,0.5783724,0.5292864,0.3928176,0.229068,0.2084292,0.171234,0.130896,0.1084104,0.1078272,0.08586,0.0757188,0.0888732,0.0705672,0.055404,0.0541728,0.048114,0.0463644,0.0428652,0.0439668,0.0420552,0.0436104,0.050544,0.0505116,0.0518076,0.0568944,0.0595836,0.066582,0.0838512,0.0866052,0.0899748,0.1003104,0.1108404,0.1235736,0.1449252,0.1602828,0.1720116,0.1643328,0.162972,0.1760616,0.1767744,0.1805004,0.1803384,0.1811808,0.1846476,0.1834164,0.1859112,0.1747008,0.1940112,0.1915164,0.1988064,0.201204,0.2149092,0.2224584,0.2173716,0.2314656,0.2389176,0.2423196,0.2222964,0.2201256,0.23571,0.2175012,0.2248236,0.2239812,0.2469204,0.232794,0.202014,0.1993572,0.227772,0.2187,0.2150388
622900,临夏回族自治州,622900,0.252072,0.2155896,0.3548124,0.4407372,0.38961,0.3426948,0.3809916,0.4337064,0.4238244,0.2753352,0.3589272,0.3919752,0.3862404,0.371466,0.3466152,0.3363444,0.3706884,0.359964,0.3425328,0.3738312,0.4102812,0.418446,0.45441,0.4476384,0.425898,0.3746088,0.2944512,0.218376,0.175284,0.15471,0.142884,0.1211436,0.1383156,0.1192968,0.104814,0.1037124,0.1071144,0.1065312,0.0993708,0.0971028,0.0994032,0.0992736,0.107568,0.1212408,0.11907,0.1138536,0.1094472,0.1183572,0.123444,0.1180656,0.1204308,0.1180332,0.13122,0.1600884,0.2162052,0.219348,0.2306556,0.2074572,0.2135808,0.229878,0.2213568,0.2437452,0.2282904,0.2362608,0.244296,0.2482164,0.274914,0.2369736,0.2525904,0.24624,0.24786,0.2639304,0.2555388,0.2852172,0.2277396,0.2092392,0.2192832,0.2181816,0.2328912,0.23652,0.2673648,0.2698596,0.2651616,0.2610144,0.2666844,0.2534976,0.2656476,0.3189456,0.3145068,0.2986308,0.2888136
