city_baidu_id,name,province_id,420100_moveIn_mean,420100_moveIn_mean_before,420100_moveIn_mean_after,420100_moveIn_max,420100_moveIn_max_before,420100_moveIn_max_after,420100_moveIn_min,420100_moveIn_min_before,420100_moveIn_min_after
330100,杭州市,330000,0.18428571428571433,0.3623076923076922,0.11307692307692309,0.67,0.66,0.67,0.0,0.11,0.0
330200,宁波市,330000,0.07395604395604397,0.12423076923076924,0.05384615384615386,0.71,0.25,0.71,0.0,0.0,0.0
330300,温州市,330000,0.088021978021978,0.20153846153846156,0.04261538461538464,0.28,0.28,0.23,0.0,0.1,0.0
330400,嘉兴市,330000,0.02516483516483517,0.03538461538461538,0.021076923076923083,0.15,0.15,0.1,0.0,0.0,0.0
330500,湖州市,330000,0.04802197802197802,0.0,0.06723076923076923,0.71,0.0,0.71,0.0,0.0,0.0
330600,绍兴市,330000,0.033186813186813185,0.036538461538461534,0.03184615384615385,0.17,0.12,0.17,0.0,0.0,0.0
330700,金华市,330000,0.06736263736263733,0.11230769230769229,0.049384615384615395,0.19,0.19,0.19,0.0,0.0,0.0
330800,衢州市,330000,0.007472527472527474,0.0,0.010461538461538465,0.06,0.0,0.06,0.0,0.0,0.0
330900,舟山市,330000,0.004175824175824176,0.0,0.005846153846153846,0.07,0.0,0.07,0.0,0.0,0.0
331000,台州市,330000,0.06439560439560439,0.1230769230769231,0.04092307692307693,0.52,0.52,0.3,0.0,0.0,0.0
331100,丽水市,330000,0.00043956043956043956,0.0,0.0006153846153846154,0.04,0.0,0.04,0.0,0.0,0.0
340100,合肥市,340000,0.3210989010989011,0.4653846153846155,0.2633846153846154,1.63,0.73,1.63,0.03,0.17,0.03
340200,芜湖市,340000,0.11505494505494507,0.09692307692307695,0.12230769230769231,0.26,0.15,0.26,0.0,0.0,0.0
340300,蚌埠市,340000,0.0030769230769230774,0.0,0.004307692307692308,0.06,0.0,0.06,0.0,0.0,0.0
340400,淮南市,340000,0.0005494505494505495,0.0,0.0007692307692307692,0.03,0.0,0.03,0.0,0.0,0.0
340500,马鞍山市,340000,0.010219780219780225,0.0,0.014307692307692313,0.09,0.0,0.09,0.0,0.0,0.0
340600,淮北市,340000,0.0017582417582417582,0.0,0.0024615384615384616,0.09,0.0,0.09,0.0,0.0,0.0
340700,铜陵市,340000,0.013076923076923083,0.015769230769230768,0.012000000000000002,0.1,0.1,0.06,0.0,0.0,0.0
340800,安庆市,340000,0.18208791208791206,0.3930769230769231,0.09769230769230769,0.59,0.59,0.24,0.0,0.24,0.0
341000,黄山市,340000,0.0012087912087912088,0.0,0.0016923076923076924,0.04,0.0,0.04,0.0,0.0,0.0
341100,滁州市,340000,0.008131868131868135,0.0026923076923076926,0.01030769230769231,0.07,0.07,0.07,0.0,0.0,0.0
341200,阜阳市,340000,0.19395604395604393,0.3238461538461538,0.14200000000000002,0.49,0.49,0.34,0.04,0.23,0.04
341300,宿州市,340000,0.018131868131868137,0.04153846153846154,0.00876923076923077,0.12,0.12,0.08,0.0,0.0,0.0
341500,六安市,340000,0.10615384615384607,0.20346153846153847,0.06723076923076922,0.28,0.28,0.2,0.0,0.07,0.0
341600,亳州市,340000,0.016483516483516487,0.049615384615384624,0.003230769230769231,0.14,0.14,0.04,0.0,0.0,0.0
341700,池州市,340000,0.02791208791208792,0.0,0.03907692307692309,0.11,0.0,0.11,0.0,0.0,0.0
341800,宣城市,340000,0.0067032967032967065,0.0,0.009384615384615389,0.06,0.0,0.06,0.0,0.0,0.0
350100,福州市,350000,0.11615384615384612,0.20038461538461538,0.08246153846153847,0.71,0.24,0.71,0.0,0.14,0.0
350200,厦门市,350000,0.079010989010989,0.19230769230769235,0.033692307692307695,0.53,0.36,0.53,0.0,0.1,0.0
350300,莆田市,350000,0.0047252747252747255,0.011153846153846155,0.002153846153846154,0.11,0.11,0.04,0.0,0.0,0.0
350400,三明市,350000,0.0067032967032967065,0.008461538461538461,0.006,0.11,0.11,0.06,0.0,0.0,0.0
350500,泉州市,350000,0.06901098901098898,0.17884615384615385,0.025076923076923083,0.26,0.26,0.14,0.0,0.09,0.0
350600,漳州市,350000,0.005274725274725274,0.0,0.007384615384615384,0.06,0.0,0.06,0.0,0.0,0.0
350700,南平市,350000,0.0025274725274725277,0.0,0.0035384615384615385,0.07,0.0,0.07,0.0,0.0,0.0
350800,龙岩市,350000,0.0007692307692307693,0.0,0.001076923076923077,0.03,0.0,0.03,0.0,0.0,0.0
350900,宁德市,350000,0.0005494505494505495,0.0,0.0007692307692307692,0.03,0.0,0.03,0.0,0.0,0.0
360100,南昌市,360000,0.3016483516483518,0.5103846153846155,0.21815384615384617,0.72,0.72,0.44,0.09,0.28,0.09
360200,景德镇市,360000,0.006263736263736264,0.006923076923076922,0.006,0.1,0.1,0.09,0.0,0.0,0.0
360300,萍乡市,360000,0.00043956043956043956,0.0,0.0006153846153846154,0.02,0.0,0.02,0.0,0.0,0.0
360400,九江市,360000,0.3612087912087912,0.5099999999999999,0.3016923076923077,0.81,0.64,0.81,0.12,0.29,0.12
360500,新余市,360000,0.0008791208791208791,0.0,0.0012307692307692308,0.02,0.0,0.02,0.0,0.0,0.0
360600,鹰潭市,360000,0.00021978021978021978,0.0,0.0003076923076923077,0.02,0.0,0.02,0.0,0.0,0.0
360700,赣州市,360000,0.06659340659340654,0.15923076923076926,0.029538461538461548,0.31,0.2,0.31,0.0,0.1,0.0
360800,吉安市,360000,0.04527472527472528,0.1230769230769231,0.014153846153846156,0.16,0.16,0.1,0.0,0.09,0.0
360900,宜春市,360000,0.07516483516483512,0.22423076923076923,0.015538461538461543,0.37,0.37,0.1,0.0,0.13,0.0
361000,抚州市,360000,0.050439560439560445,0.13923076923076924,0.01492307692307693,0.18,0.18,0.08,0.0,0.09,0.0
361100,上饶市,360000,0.05868131868131867,0.16730769230769235,0.015230769230769233,0.21,0.21,0.08,0.0,0.11,0.0
370100,济南市,370000,0.0571428571428571,0.11307692307692306,0.03476923076923078,0.21,0.21,0.17,0.0,0.0,0.0
370200,青岛市,370000,0.059450549450549464,0.1253846153846154,0.03307692307692309,0.24,0.24,0.2,0.0,0.0,0.0
370300,淄博市,370000,0.002197802197802198,0.0,0.003076923076923077,0.06,0.0,0.06,0.0,0.0,0.0
370400,枣庄市,370000,0.007472527472527474,0.0,0.010461538461538465,0.18,0.0,0.18,0.0,0.0,0.0
370500,东营市,370000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370600,烟台市,370000,0.002527472527472527,0.004615384615384615,0.0016923076923076924,0.12,0.12,0.03,0.0,0.0,0.0
370700,潍坊市,370000,0.0465934065934066,0.00923076923076923,0.06153846153846155,0.19,0.13,0.19,0.0,0.0,0.0
370800,济宁市,370000,0.017032967032967042,0.032692307692307694,0.010769230769230769,0.12,0.12,0.09,0.0,0.0,0.0
370900,泰安市,370000,0.0012087912087912088,0.0023076923076923075,0.0007692307692307692,0.06,0.06,0.03,0.0,0.0,0.0
371000,威海市,370000,0.00032967032967032967,0.0,0.00046153846153846153,0.02,0.0,0.02,0.0,0.0,0.0
371100,日照市,370000,0.002197802197802198,0.0,0.003076923076923077,0.09,0.0,0.09,0.0,0.0,0.0
-999,莱芜市,370000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371300,临沂市,370000,0.038791208791208766,0.06153846153846154,0.02969230769230771,0.17,0.17,0.13,0.0,0.0,0.0
371400,德州市,370000,0.04197802197802197,0.0,0.05876923076923077,1.34,0.0,1.34,0.0,0.0,0.0
