id,t2m_mean,t2m_max,t2m_min
410404,280.0387620593693,291.4976250000001,270.887625
410421,280.6901502396414,292.33366666666666,271.7550416666666
410422,281.1256853741496,293.03358333333335,272.2565833333333
410423,280.08905921459495,291.401625,270.9802499999999
410425,279.9733012523191,291.868125,270.406625
410481,281.22310304576365,293.39079166666664,272.4915833333334
410482,280.04499485930734,291.79925,270.4986666666667
410503,279.3431176561535,292.40987499999994,269.7101666666667
410522,279.0451099644403,291.86524999999995,269.3254583333333
410523,279.5815137987013,292.60162500000007,269.77054166666665
410526,280.16785799319723,293.50054166666666,270.8540833333332
410527,279.7900993738404,293.2225833333334,269.8967083333333
410581,276.6370211038961,288.03929166666666,266.91274999999996
410611,278.9704942408781,291.04704166666664,269.82474999999994
410621,279.82356203617815,292.96729166666665,270.4229583333333
410622,279.42187190785404,291.70191666666665,270.5650416666666
410704,279.26589888682724,290.78749999999997,270.7411666666667
410721,298.79233754638216,300.20420833333327,297.04474999999996
410724,280.44141125541125,292.754875,271.79787500000003
410725,280.5326500077303,292.5643333333333,271.70874999999995
410726,280.00988350340134,293.0420833333333,271.01354166666664
410727,280.36945871985165,293.282125,271.42475
410728,280.4034693104514,293.62983333333335,271.401875
410781,279.85167002937544,292.24695833333334,270.9514583333333
410782,277.20381354359927,288.9827916666666,268.23841666666664
410811,279.4457720315399,292.12429166666664,270.28395833333326
410821,277.3472012987013,289.7477916666667,268.2225416666667
410823,279.90139923469377,292.433625,271.1221666666666
410825,280.69184887136674,293.250875,271.7060416666667
410882,278.78008167130486,291.06449999999995,269.37033333333335
410883,280.419316249227,292.76283333333333,271.0537916666667
410900,279.92975919913425,293.34937500000007,270.4396666666667
411023,280.7114138064316,293.3100833333333,271.81775000000005
411024,281.0375305349413,294.03029166666664,272.7536666666667
411025,280.88428354978356,293.1068333333333,272.1961666666667
411081,280.14839011286335,292.3958333333333,270.3939583333334
411103,281.24791361317256,293.9879583333333,272.7998333333333
411104,281.22803954081627,294.14450000000005,272.93233333333325
411121,281.184642818491,293.5899583333334,272.62720833333333
411122,281.0492266929499,293.82,272.6587916666667
411203,278.82359137291286,290.269875,269.76395833333333
411221,278.66715963203467,291.7517499999999,269.10766666666666
411224,277.4562714131107,287.81629166666664,269.61595833333325
411282,278.5015435992577,290.1617916666667,270.4515833333333
411300,280.5342416898577,291.0870833333333,272.0102083333333
411403,280.82501059059985,293.58587500000004,272.0986250000001
411421,280.69614277983925,293.2905416666667,271.6320416666667
411422,280.8963801793444,293.7024166666667,272.2458333333333
411423,280.8329342145949,293.54487499999993,272.0132916666667
411424,280.94539239332096,293.8744583333334,272.44170833333334
411425,280.7841975108226,293.50404166666664,271.9787083333334
411426,280.7195830241187,293.44137499999994,271.793125
411481,280.78150575912184,293.525875,272.0800416666666
411502,281.0486272418058,292.7797500000001,272.45979166666666
411503,281.09906775664814,292.89225,272.82775
411521,281.4084047619047,293.42087499999997,273.11337499999996
411522,281.57750533395176,293.90120833333333,272.9955416666666
411523,281.4211112012986,293.6120416666666,272.43608333333333
411524,281.5441738945578,293.95970833333337,272.45608333333337
411525,281.59808688930116,293.8164583333334,272.8818749999999
411526,281.6827191944961,293.9967083333334,273.0049583333334
411527,281.45402500773037,293.408375,273.0279583333333
411528,281.4321731215214,293.30216666666666,273.182875
411602,281.1831649659864,294.0647916666667,273.1425416666666
411621,281.08448639455787,294.15220833333336,272.9040833333334
411622,281.10423090599875,294.095875,272.94599999999997
411623,281.24288736858375,294.1186666666667,273.12429166666664
411624,281.2329051484229,293.771,273.35620833333337
411625,281.0818259508348,293.9514583333333,273.0313333333333
411626,281.1214347943723,294.0012916666667,273.12533333333334
411627,281.02108194186764,294.0481666666667,272.7133333333333
411628,281.0118233611628,293.90945833333336,272.75762499999996
411681,281.23374192176874,293.75662500000004,273.3879166666667
411702,281.0682871057514,292.584,272.44991666666664
411721,281.27661958874455,293.6106666666667,272.8940416666666
411722,281.25547093382806,293.93587499999995,273.0830833333334
411723,281.3154363404451,293.37904166666664,273.3883333333333
411724,281.3501084570192,293.03950000000003,273.46787500000005
