id,t2m_mean,t2m_max,t2m_min,t2m_mean_before,t2m_max_before,t2m_min_before,t2m_mean_after,t2m_max_after,t2m_min_after
371700,279.859516941392,293.30070833333343,271.0581250000001,274.79587980769236,279.161375,271.0581250000001,281.8849717948718,293.30070833333343,272.7835833333333
410100,279.99607875457883,292.9359999999999,270.95883333333336,274.96182532051284,279.08737499999995,272.0558750000001,282.00978012820514,292.9359999999999,270.95883333333336
410200,280.2764391025641,293.6629583333334,272.1439166666666,275.1081185897436,279.68175,272.1439166666666,282.3437673076924,293.6629583333334,272.4983333333333
410300,278.45285989011,290.3978333333334,269.74875000000003,273.6759519230769,277.39608333333337,270.0500833333333,280.36362307692315,290.3978333333334,269.74875000000003
410400,279.9229038461539,292.01279166666666,271.452875,275.1532371794872,279.52237499999995,271.452875,281.83077051282044,292.01279166666666,271.4705833333333
410500,278.5700302197804,291.9334166666667,269.39595833333334,272.71543750000006,276.96908333333334,269.39595833333334,280.9118673076923,291.9334166666667,270.9062083333334
410600,278.9072573260075,291.9055,270.3863333333333,273.48860576923084,277.65008333333327,270.3863333333333,281.07471794871805,291.9055,270.65254166666665
410700,279.0446236263737,291.64283333333333,270.8793749999999,273.8465480769231,278.1129583333333,270.8793749999999,281.1238538461538,291.64283333333333,270.9108333333333
410800,278.9326336996337,291.8040833333334,270.47666666666663,273.955407051282,277.9523749999999,270.98058333333336,280.92352435897425,291.8040833333334,270.47666666666663
410900,279.3877550366301,293.34937500000007,270.4396666666667,273.6860625,277.9664583333334,270.4396666666667,281.668432051282,293.34937500000007,272.4362916666667
411000,280.2370086996337,293.21083333333326,271.9072083333333,275.38276121794877,279.94629166666675,272.21970833333336,282.17870769230774,293.21083333333326,271.9072083333333
411100,280.7316355311356,293.88558333333333,272.7547083333333,275.7807980769231,280.74774999999994,272.7547083333333,282.7119705128205,293.88558333333333,273.5622916666667
411200,277.69575824175826,288.94795833333325,270.07783333333333,273.0189038461538,276.57241666666664,270.07783333333333,279.5665,288.94795833333325,270.56891666666667
411300,280.11693452380945,291.0870833333333,272.0102083333333,275.60736378205127,279.3719999999999,272.0102083333333,281.92076282051283,291.0870833333333,272.95320833333335
411400,280.3597138278388,293.5362916666667,272.03966666666673,275.7622596153846,280.061,272.03966666666673,282.1986955128205,293.5362916666667,273.104125
411500,281.05128342490843,293.3297083333334,272.9140416666667,276.48291346153843,280.90737499999994,273.4527916666667,282.8786314102563,293.3297083333334,272.9140416666667
411600,280.701907967033,293.9752916666666,273.2043750000001,275.9497980769231,280.8712916666666,273.2043750000001,282.6027519230769,293.9752916666666,273.7545416666667
411700,280.80310439560446,292.91729166666664,273.00475,276.10912179487184,281.1210833333334,273.00475,282.6806974358974,292.91729166666664,274.1052916666667
419001,277.216244047619,290.5931250000001,268.73745833333334,272.2437387820512,275.8289166666667,268.73745833333334,279.2052461538461,290.5931250000001,268.79966666666667
420100,282.45056547619043,294.0890833333333,274.2527916666666,277.9366346153846,281.501375,274.44370833333335,284.2561378205127,294.0890833333333,274.2527916666666
420200,282.75783836996334,295.046625,275.1759583333333,278.5973349358975,283.2609166666667,275.42124999999993,284.42203974358983,295.046625,275.1759583333333
420300,279.2013933150183,289.74924999999996,271.6234583333333,274.9353541666667,277.3359583333334,271.6234583333333,280.9078089743589,289.74924999999996,272.4617083333333
420500,280.01419551282044,290.646,272.7018333333333,275.9601362179488,278.57912500000003,272.79116666666664,281.6358192307692,290.646,272.7018333333333
420600,280.6284706959707,291.78604166666656,272.4224166666667,276.15181891025645,279.653625,272.4224166666667,282.41913141025634,291.78604166666656,273.0384166666667
420700,283.01783745421244,294.69166666666666,275.11975,278.5895448717949,282.75904166666663,275.11975,284.7891544871795,294.69166666666666,275.3029583333334
420800,281.8395590659341,293.585625,273.8064166666667,277.2913878205128,280.5324166666666,273.8064166666667,283.6588275641026,293.585625,274.27837500000004
420900,281.6585196886448,293.29962500000005,273.2625,277.1243044871795,281.0464166666667,273.7676666666667,283.47220576923087,293.29962500000005,273.2625
421000,282.58250366300365,294.5392083333333,274.72904166666666,278.19586538461533,281.4517916666667,274.72904166666666,284.33715897435906,294.5392083333333,274.81708333333336
421100,281.82096932234424,293.4897916666667,273.8498333333334,277.782421474359,282.1409166666667,274.46625000000006,283.43638846153857,293.4897916666667,273.8498333333334
421200,282.56347756410247,294.73625,274.3889166666666,278.1603782051282,282.7098333333333,275.01254166666666,284.3247173076923,294.73625,274.3889166666666
421300,281.00650412087913,292.876125,272.77341666666666,276.34226762820515,280.74225000000007,272.77341666666666,282.8721987179488,292.876125,273.10391666666663
422800,279.77777106227103,290.07525,273.567,276.69806891025644,279.3267916666667,274.40108333333336,281.00965192307694,290.07525,273.567
429004,282.37751327838845,293.66450000000003,274.1077916666666,277.97089583333326,281.15450000000004,274.29470833333335,284.14016025641024,293.66450000000003,274.1077916666666
429005,282.3966236263737,294.02174999999994,274.6394583333333,277.9893413461539,281.01237499999996,274.68387499999994,284.15953653846157,294.02174999999994,274.6394583333333
429006,282.1827678571428,293.35954166666664,274.14799999999997,277.8004150641025,280.91870833333337,274.4072916666667,283.93570897435904,293.35954166666664,274.14799999999997
429021,276.80238827838826,287.8829583333333,267.7844166666667,272.9426298076924,276.32287499999995,269.84270833333335,278.34629166666673,287.8829583333333,267.7844166666667
430100,283.2573795787546,296.80800000000005,275.64112500000005,279.1799455128205,284.05020833333333,275.7924583333333,284.8883532051282,296.80800000000005,275.64112500000005
430200,284.3452239010989,298.588875,275.81379166666653,280.6034230769231,288.09683333333334,275.81379166666653,285.8419442307692,298.588875,276.89275
430300,283.3845402930403,298.1255833333334,276.01962499999996,279.09483012820516,283.98737499999993,276.01962499999996,285.1004243589744,298.1255833333334,276.0897916666666
430400,284.19289423076924,298.78366666666676,276.09341666666666,280.176764423077,289.4024583333333,276.09341666666666,285.79934615384616,298.78366666666676,277.0925833333334
430500,282.673505952381,296.60575,275.0734583333334,278.9693621794872,287.14037500000006,275.3467083333333,284.1551634615384,296.60575,275.0734583333334
430600,282.977065934066,295.78225000000003,275.105375,278.71339423076927,282.57520833333336,275.91429166666666,284.6825346153846,295.78225000000003,275.105375
430700,282.0276053113553,294.2490833333333,274.546125,277.7501907051282,281.50833333333327,274.546125,283.73857115384624,294.2490833333333,274.7555416666667
430800,280.76371565934073,291.661625,274.0461666666667,276.8375400641026,279.99970833333333,274.0461666666667,282.3341858974358,291.661625,274.52725000000004
430900,282.2972156593407,295.9725,274.70620833333334,277.84995993589746,281.87379166666665,274.91791666666677,284.07611794871787,295.9725,274.70620833333334
431000,284.4978484432235,296.7961666666666,275.4759166666667,281.2450240384615,291.58491666666663,275.4759166666667,285.79897820512815,296.7961666666666,275.9622916666666
431100,284.2068035714286,296.6892083333333,275.55925,280.9078878205129,291.3430416666667,275.55925,285.5263698717948,296.6892083333333,275.8874166666667
431200,282.449282051282,296.0289583333334,275.40649999999994,278.2719246794872,282.49962500000004,275.40649999999994,284.12022500000006,296.0289583333334,275.66262499999993
431300,282.24821382783887,296.6056250000001,274.7115833333333,278.006592948718,283.2046666666667,274.7655,283.94486217948725,296.6056250000001,274.7115833333333
433100,281.44764148351635,293.12441666666666,275.16479166666664,277.54783173076936,280.5890416666666,275.16479166666664,283.0075653846154,293.12441666666666,275.48025
440100,290.9879761904761,298.02479166666666,282.77012500000006,290.5952131410256,295.1896666666667,283.7616249999999,291.1450814102564,298.02479166666666,282.77012500000006
440200,286.5823131868132,295.030875,277.7504166666667,284.9767836538462,292.63175000000007,279.03387499999997,287.2245249999999,295.030875,277.7504166666667
440300,291.914522893773,297.0895833333333,283.48145833333336,291.6113205128205,295.34075,285.60708333333326,292.0358038461538,297.0895833333333,283.48145833333336
440400,291.88094688644696,297.278875,283.2121666666667,291.40130769230774,295.08587499999993,284.79829166666667,292.0728025641026,297.278875,283.2121666666667
440500,290.8004358974359,297.4134583333333,283.194625,290.24000641025646,294.859125,285.377,291.02460769230765,297.4134583333333,283.194625
440600,291.25080906593394,298.52708333333334,283.0772083333333,290.6731298076922,295.9175416666667,283.72608333333335,291.4818807692306,298.52708333333334,283.0772083333333
440700,291.5972683150184,297.582,282.66129166666667,291.09501282051286,295.36437499999994,284.0977500000001,291.79817051282043,297.582,282.66129166666667
440800,293.6366163003663,299.65883333333335,284.46225,292.9763846153846,295.8629583333333,285.7572083333334,293.9007089743591,299.65883333333335,284.46225
440900,291.64364743589755,297.62870833333335,282.168125,290.9211073717949,294.4481666666666,283.15820833333333,291.9326634615384,297.62870833333335,282.168125
441200,289.25329716117216,297.22950000000003,280.3935416666667,288.416483974359,293.7524166666667,281.2079999999999,289.58802243589736,297.22950000000003,280.3935416666667
441300,290.65176190476205,297.2555833333333,281.96175000000005,290.3854887820513,294.7249583333333,283.749375,290.7582711538462,297.2555833333333,281.96175000000005
441400,289.14898351648344,296.341125,280.27912499999996,288.67217788461534,294.099625,281.82858333333337,289.33970576923076,296.341125,280.27912499999996
441500,290.57787500000006,296.8732916666667,282.6152916666667,290.15483012820516,294.5952916666667,284.4748333333333,290.7470929487179,296.8732916666667,282.6152916666667
441600,288.80195100732584,296.43212500000004,279.91408333333334,288.17004006410247,293.77124999999995,281.30354166666666,289.0547153846154,296.43212500000004,279.91408333333334
441700,291.1049546703296,296.92416666666674,281.84345833333333,290.51576923076925,294.31487500000003,283.2188333333334,291.34062884615383,296.92416666666674,281.84345833333333
441800,287.32252793040294,295.7727499999999,278.0373333333333,285.8830128205129,292.5557916666666,279.0901666666667,287.898333974359,295.7727499999999,278.0373333333333
441900,292.02173946886455,297.9581666666667,283.5055416666667,291.79973237179485,295.8349583333333,285.3912916666667,292.1105423076923,297.9581666666667,283.5055416666667
442000,292.2389450549451,298.44504166666667,283.5068333333333,291.76920512820516,296.2861666666667,284.8942083333333,292.426841025641,298.44504166666667,283.5068333333333
445100,289.77993864468874,296.6283333333333,281.56587499999995,289.2416971153846,294.301125,283.96162499999997,289.9952352564102,296.6283333333333,281.56587499999995
445200,289.849293956044,297.04508333333337,281.60241666666667,289.33053205128203,294.19104166666665,283.3135416666667,290.05679871794865,297.04508333333337,281.60241666666667
445300,290.5741021062272,297.8494583333334,281.51525,289.8746698717949,295.31733333333324,282.1393333333333,290.85387499999996,297.8494583333334,281.51525
450100,289.8056762820513,297.54749999999996,281.75208333333325,288.67447435897435,294.22637499999996,281.75208333333325,290.25815705128207,297.54749999999996,282.444875
450200,286.2031295787547,295.9787083333334,277.949,283.7353846153846,292.5062083333333,277.949,287.1902275641025,295.9787083333334,278.81766666666664
450300,285.0681492673994,295.37825000000004,276.86141666666657,282.5801858974359,291.4153333333333,277.3160833333333,286.06333461538463,295.37825000000004,276.86141666666657
450400,289.37591071428574,297.6079583333334,280.7030416666667,288.5552756410256,294.4105416666667,281.4019166666667,289.7041647435897,297.6079583333334,280.7030416666667
450500,292.6058424908424,298.7643750000001,284.17979166666663,291.76085256410255,295.77770833333335,284.17979166666663,292.9438384615384,298.7643750000001,284.2129166666667
450600,290.4443946886447,297.58629166666674,282.8180833333333,289.39000160256404,294.0890833333333,282.8180833333333,290.866151923077,297.58629166666674,283.09425
450700,291.2784166666666,297.97675,282.8183333333333,290.3509935897436,295.63337500000006,282.8183333333333,291.6493858974361,297.97675,283.33370833333333
450800,289.69506272893767,297.96066666666667,281.6735833333334,288.76263301282046,295.0382916666666,281.9358333333334,290.0680346153845,297.96066666666667,281.6735833333334
450900,290.8668919413921,297.9409166666667,282.2308333333334,290.04856089743595,295.06291666666664,282.7874583333333,291.1942243589743,297.9409166666667,282.2308333333334
451000,288.3181955128205,296.5276666666667,279.73583333333335,287.2075528846154,292.1517083333333,279.73583333333335,288.7624525641025,296.5276666666667,280.74329166666666
451100,286.77898305860805,295.6585833333333,277.86825,285.21668429487175,292.78275,278.8676249999999,287.4039025641026,295.6585833333333,277.86825
451200,286.92468589743595,296.2638333333333,278.4185416666666,285.1049567307693,291.22395833333337,278.4185416666666,287.6525775641025,296.2638333333333,279.40391666666665
451300,288.62073122710626,297.6349166666667,280.305875,287.21067467948717,294.512125,280.305875,289.1847538461538,297.6349166666667,280.71754166666665
451400,290.30426327838825,297.7221666666667,282.8605833333333,289.3944951923077,294.60125,282.8605833333333,290.66817051282044,297.7221666666667,283.2195833333333
460100,295.24273214285705,300.01000000000005,288.30933333333326,294.7414631410257,296.20150000000007,289.7033333333333,295.44323974358974,300.01000000000005,288.30933333333326
460200,295.3861149267399,299.16662500000007,288.85229166666664,294.99409134615377,296.6764166666666,290.6356666666667,295.5429243589744,299.16662500000007,288.85229166666664
460400,295.63667307692305,300.43879166666665,287.8969166666667,295.28767948717945,296.579625,289.18412500000005,295.77627051282053,300.43879166666665,287.8969166666667
469001,293.30837545787546,298.18024999999994,284.7814166666667,292.67670833333335,294.57708333333335,285.71529166666664,293.56104230769233,298.18024999999994,284.7814166666667
469002,295.1699597069597,299.9202083333333,287.1063333333333,294.50736538461535,296.2285000000001,287.7525,295.43499743589746,299.9202083333333,287.1063333333333
469005,295.3470064102565,299.9884583333333,288.2649166666667,294.8710048076923,296.093125,290.00112499999994,295.53740705128195,299.9884583333333,288.2649166666667
469006,294.1704097985349,298.709875,286.7847083333333,293.48824679487177,295.67233333333337,287.2212916666667,294.443275,298.709875,286.7847083333333
469007,296.40940476190457,301.0904166666667,288.62945833333333,295.99743749999993,297.37258333333335,289.90608333333336,296.57419166666665,301.0904166666667,288.62945833333333
469021,295.7640347985348,300.98504166666663,287.60029166666664,295.0594647435897,296.97554166666663,288.6917083333333,296.04586282051275,300.98504166666663,287.60029166666664
469022,295.3748315018316,300.870125,286.68216666666666,294.7235032051281,296.34195833333325,287.59908333333334,295.6353628205129,300.870125,286.68216666666666
469023,295.3744880952381,300.1798749999999,287.1326666666667,294.9550368589743,296.6683749999999,288.7323750000001,295.5422685897436,300.1798749999999,287.1326666666667
469024,294.985907051282,299.23962499999993,287.6862500000001,294.7853269230769,296.117,289.3928333333333,295.06613910256414,299.23962499999993,287.6862500000001
469025,295.06931135531147,299.949375,286.450875,294.53925,295.7136249999999,287.519375,295.2813358974359,299.949375,286.450875
469026,296.04785210622725,300.637,288.4979166666667,295.7205673076923,297.2155833333333,289.67049999999995,296.178766025641,300.637,288.4979166666667
469027,294.9686492673992,299.1154583333334,287.6460416666667,294.4926025641026,296.12504166666673,288.5886666666667,295.159067948718,299.1154583333334,287.6460416666667
469028,293.4099400183149,297.6720000000001,285.7185416666667,292.8147211538461,295.525,287.13437500000003,293.6480275641024,297.6720000000001,285.7185416666667
469029,293.39184615384613,297.62804166666666,285.4789166666667,292.85284615384614,295.43920833333334,287.067125,293.60744615384624,297.62804166666666,285.4789166666667
469030,293.64393360805866,298.83362500000004,285.2947083333333,292.8624983974359,294.9397083333334,286.0625416666667,293.95650769230764,298.83362500000004,285.2947083333333
500000,282.45621336996334,292.90900000000005,276.0545,279.63605288461537,281.89608333333337,278.009,283.58427756410254,292.90900000000005,276.0545
510100,280.9209157509158,291.7894166666666,274.9998333333333,278.00311217948723,279.66975,276.3945833333334,282.0880371794872,291.7894166666666,274.9998333333333
510300,285.40463553113545,295.8736666666667,279.474375,282.74350801282054,284.59916666666663,280.98516666666666,286.4690865384614,295.8736666666667,279.474375
510400,284.64741437728946,293.11470833333334,274.6171666666667,282.00162339743594,284.66354166666673,274.6171666666667,285.70573076923074,293.11470833333334,277.808625
510500,283.96402243589733,294.12229166666674,276.6609583333333,281.3770176282051,283.10466666666673,278.5633333333334,284.99882435897433,294.12229166666674,276.6609583333333
510600,282.5808864468864,293.61975,277.0293750000001,279.64645192307694,281.56862500000005,278.3280833333334,283.75466025641026,293.61975,277.0293750000001
510700,278.02530677655665,289.00550000000004,271.9433333333333,275.28578685897435,277.062375,272.75116666666656,279.12111474358977,289.00550000000004,271.9433333333333
510800,280.05106913919417,290.05945833333334,275.0114166666668,276.99242628205127,279.191875,275.0114166666668,281.2745262820514,290.05945833333334,275.0759166666666
510900,284.75791529304036,295.9444583333334,280.22925,281.91158974358973,283.98454166666664,280.473625,285.89644551282055,295.9444583333334,280.22925
511000,285.2558415750917,296.0303333333333,279.5257916666667,282.5580336538461,284.3713333333333,280.74775000000005,286.33496474358986,296.0303333333333,279.5257916666667
511100,281.51756593406583,292.68912500000005,275.3109166666666,278.76587019230766,281.69554166666666,276.64879166666657,282.6182442307693,292.68912500000005,275.3109166666666
511300,284.1718388278389,294.90700000000004,279.36025,281.32723878205127,283.7147083333334,279.78733333333327,285.30967884615376,294.90700000000004,279.36025
511400,283.96262912087917,295.1015833333333,278.04800000000006,281.039983974359,282.94291666666663,279.1516666666667,285.13168717948713,295.1015833333333,278.04800000000006
