id,class_id
211223,281
211224,282
211281,283
211282,284
211300,285
211402,286
211404,287
211421,288
211422,289
211481,290
220102,291
220103,292
220105,293
220106,294
220112,295
220113,296
220122,297
220182,298
220183,299
220202,300
220203,301
220204,302
220211,303
220221,304
220281,305
220282,306
220283,307
220284,308
220303,309
220322,310
220323,311
220381,312
220382,313
220402,314
220421,315
220422,316
220502,317
220521,318
220523,319
220524,320
220581,321
220582,322
220602,323
220605,324
220621,325
220622,326
220623,327
220681,328
220702,329
220721,330
220722,331
220723,332
220781,333
220802,334
220821,335
220822,336
220881,337
220882,338
222401,339
222402,340
222403,341
222404,342
222405,343
222406,344
222424,345
222426,346
230102,347
230104,348
230109,349
230110,350
230111,351
230112,352
230113,353
230123,354
230124,355
230125,356
230126,357
230127,358
230128,359
230129,360
230183,361
230184,362
230204,363
230205,364
230206,365
230207,366
230208,367
230221,368
230223,369
230224,370
230225,371
230227,372
230229,373
230230,374
230231,375
230281,376
230300,377
230400,378
230502,379
230503,380
230521,381
230522,382
230523,383
230524,384
230603,385
230604,386
230605,387
230606,388
230621,389
230622,390
230623,391
230624,392
230703,393
230704,394
230705,395
230706,396
230707,397
230708,398
230709,399
230710,400
230711,401
230712,402
230713,403
230714,404
230715,405
230716,406
230722,407
230781,408
230800,409
230900,410
231002,411
231003,412
231004,413
231025,414
231081,415
231083,416
231084,417
231085,418
231086,419
231100,420
231202,421
231221,422
231222,423
231223,424
231224,425
231225,426
231226,427
231281,428
231282,429
231283,430
232700,431
310112,432
310113,433
310114,434
310115,435
310116,436
310118,437
310120,438
310230,439
320111,440
320113,441
320114,442
320115,443
320116,444
320117,445
320118,446
320205,447
320206,448
320211,449
320281,450
320282,451
320305,452
320312,453
320321,454
320322,455
320324,456
320381,457
320382,458
320411,459
320412,460
320413,461
320481,462
320505,463
320506,464
320507,465
320509,466
320581,467
320582,468
320583,469
320585,470
320602,471
320612,472
320621,473
320623,474
320681,475
320682,476
320684,477
320700,478
320802,479
320803,480
320804,481
320826,482
320829,483
320830,484
320831,485
320902,486
320904,487
320921,488
320922,489
320923,490
320924,491
320925,492
320981,493
321000,494
321100,495
321203,496
321204,497
321281,498
321282,499
321283,500
321300,501
330104,502
330105,503
330106,504
330109,505
330110,506
330111,507
330122,508
330127,509
330182,510
330185,511
330204,512
330206,513
330212,514
330225,515
330226,516
330281,517
330282,518
330283,519
330304,520
330305,521
330324,522
330326,523
330327,524
330328,525
330329,526
330381,527
330382,528
330402,529
330411,530
330421,531
330424,532
330482,533
330483,534
330502,535
330503,536
330521,537
330522,538
330523,539
330602,540
330603,541
330604,542
330624,543
330681,544
330683,545
330702,546
330703,547
330723,548
330726,549
330727,550
330781,551
330782,552
330783,553
330784,554
330802,555
330803,556
330822,557
330824,558
330825,559
330881,560
330900,561
331002,562
331003,563
331022,564
331023,565
331024,566
331081,567
331082,568
331102,569
331121,570
331122,571
331123,572
331124,573
331125,574
331126,575
331127,576
331181,577
340102,578
340104,579
340121,580
340122,581
340123,582
340124,583
340181,584
340202,585
340207,586
340221,587
340222,588
340223,589
340225,590
340303,591
340321,592
340322,593
340323,594
340402,595
340404,596
340405,597
340422,598
340506,599
340521,600
340522,601
340523,602
340604,603
340621,604
340706,605
340722,606
340811,607
340822,608
340824,609
340825,610
340826,611
340827,612
340828,613
340881,614
341003,615
341021,616
341022,617
341023,618
341024,619
341102,620
341103,621
341122,622
341124,623
341125,624
341126,625
341181,626
341182,627
341202,628
341203,629
341204,630
341221,631
341222,632
341225,633
341226,634
341282,635
341302,636
341321,637
341322,638
341323,639
341324,640
341502,641
341503,642
341522,643
341523,644
341524,645
341525,646
341602,647
341621,648
341622,649
341623,650
341702,651
341721,652
341722,653
341723,654
341802,655
341821,656
341822,657
341823,658
341824,659
341825,660
341881,661
350111,662
350121,663
350122,664
350124,665
350125,666
350181,667
350212,668
350302,669
350303,670
350304,671
350305,672
350322,673
350402,674
350403,675
350421,676
350423,677
350424,678
350425,679
350426,680
350427,681
350428,682
350429,683
350430,684
350481,685
350503,686
350504,687
350505,688
350524,689
350525,690
350526,691
350582,692
350583,693
350602,694
350622,695
350623,696
350624,697
350625,698
350626,699
350627,700
350628,701
350629,702
350681,703
350702,704
350703,705
350721,706
350722,707
350723,708
350724,709
350725,710
350781,711
350782,712
